Pain_Genuine_Expressional_Q1,Pain_Genuine_Neutral_Q1,Pain_Pretended_Expressional_Q1,Pain_Pretended_Neutral_Q1,Pain_Genuine_Expressional_Q2,Pain_Genuine_Neutral_Q2,Pain_Pretended_Expressional_Q2,Pain_Pretended_Neutral_Q2,Pain_Genuine_Expressional_Q3,Pain_Genuine_Neutral_Q3,Pain_Pretended_Expressional_Q3,Pain_Pretended_Neutral_Q3
6.117647059,0,6.333333333,0,6.625,0,.055555556,.222222222,4.941176471,.055555556,1.411764706,0
7.666666667,0,7.722222222,0,7.722222222,0,0,0,6.722222222,0,6.588235294,0
6.611111111,0,6.333333333,0,6.666666667,0,.222222222,0,6.333333333,0,5.647058824,0
7.588235294,0,6.5,0,7.941176471,0,0,0,7.294117647,.222222222,2.941176471,0
6.176470588,0,6.222222222,0,6.117647059,0,0,0,4.833333333,0,2.375,0
6.777777778,.222222222,6.176470588,0,7,0,.222222222,0,7.055555556,.222222222,5.411764706,0
6.111111111,0,5.944444444,0,5.888888889,.222222222,0,0,6.222222222,.235294118,4.611111111,0
5.764705882,.294117647,5,0,5.785714286,0,1.117647059,0,5,0,2.8125,.222222222
7.944444444,0,6.882352941,0,7.555555556,0,.944444444,0,7.333333333,0,1,0
6.222222222,0,6.5,0,6.111111111,0,.588235294,0,6.888888889,0,.111111111,0
4.166666667,0,4,0,4.111111111,.222222222,0,0,4.166666667,0,2.705882353,.055555556
6.833333333,.222222222,6.388888889,0,5.833333333,0,.941176471,0,6.5,.111111111,5.75,.055555556
6.666666667,.055555556,7.166666667,0,5.888888889,0,0,0,1.444444444,0,.333333333,.166666667
7.5,0,7.333333333,0,7.055555556,0,0,0,7.388888889,0,7.111111111,0
6.888888889,0,7.055555556,0,6.5,0,.6875,0,5.055555556,.111111111,1.941176471,0
6.277777778,0,4.9375,0,6.222222222,0,.823529412,0,5.444444444,0,2.294117647,0
6.5,.055555556,7.222222222,0,5.8125,0,0,0,5,.444444444,2.944444444,.277777778
5,0,4.066666667,0,4.8,0,.222222222,0,4.111111111,0,1.941176471,0
4.333333333,0,4.5,0,4.333333333,0,.222222222,0,1.833333333,0,1.333333333,0
6.647058824,.055555556,5.529411765,.555555556,7.611111111,0,1.666666667,.277777778,7,2.666666667,5.117647059,3.111111111
6.166666667,0,5.444444444,0,5.833333333,.222222222,0,0,4.333333333,0,2.111111111,0
4.5,0,4.222222222,0,4.058823529,.055555556,.222222222,.111111111,.333333333,0,0,0
5.722222222,0,6.111111111,0,6.5,0,0,0,5.388888889,.555555556,1.777777778,.055555556
6.888888889,0,6.555555556,0,6.5,0,.666666667,0,5.277777778,0,4.647058824,0
6,.0625,5.470588235,.055555556,4.705882353,0,.833333333,0,5.823529412,0,4.277777778,.222222222
3.944444444,0,4,0,3.882352941,0,3.352941176,0,4.058823529,0,3.333333333,0
5.882352941,0,6.444444444,0,5.944444444,0,0,0,1.388888889,0,1.055555556,0
7,.333333333,6.941176471,.117647059,7.055555556,.166666667,.111111111,.055555556,6.277777778,.176470588,1.111111111,.5
6.055555556,.111111111,6.444444444,.055555556,5.722222222,.055555556,.388888889,0,4.555555556,.055555556,3.888888889,0
6.833333333,0,6.277777778,0,7.055555556,0,0,0,6.666666667,0,5.833333333,0
6.777777778,.055555556,6.166666667,.055555556,7.166666667,0,0,0,6.055555556,0,5.411764706,0
6.944444444,0,2.333333333,0,7.352941176,0,.166666667,0,7.166666667,0,0,0
7.222222222,0,6.555555556,.055555556,7.055555556,0,0,0,6.777777778,0,4.235294118,0
7.277777778,0,6.722222222,0,7.470588235,0,0,0,7.055555556,0,2.888888889,0
5.277777778,0,5.722222222,0,6,0,.055555556,0,4.588235294,0,2.388888889,0
4.055555556,0,3.944444444,0,4.444444444,0,.111111111,0,2.833333333,.666666667,1,.277777778
6.944444444,0,5.823529412,.166666667,7,0,.058823529,0,6.555555556,0,2.111111111,0
7.055555556,0,6.722222222,0,7.555555556,0,0,0,5.388888889,0,.222222222,0
5.882352941,0,6.823529412,0,7.277777778,0,0,0,4.294117647,.222222222,.833333333,0
6.611111111,0,5.444444444,0,6.888888889,0,.111111111,0,4.055555556,0,2.722222222,0
6.166666667,0,5.388888889,0,4.823529412,0,.588235294,0,3.611111111,0,.722222222,0
6.611111111,0,6.277777778,0,6.388888889,0,0,.055555556,6.333333333,0,4.555555556,0
5.5,0,5.222222222,0,5.666666667,0,.5,0,4.5,0,1.444444444,0
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
 , , , , , , , , , , , 
